num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
448,136,252,1000,40000,241063875,Action|Adventure|Fantasy,54083,4,English,USA,PG-13,250000000,11000,6.7,2.35
451,106,188,718,10000,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,12572,1,English,USA,PG-13,225000000,816,6.8,1.85
422,164,0,773,5000,255108370,Adventure|Fantasy,9152,0,English,New Zealand,PG-13,250000000,972,7.5,2.35
599,153,464,963,15000,262030663,Action|Adventure|Fantasy,28489,0,English,USA,PG-13,230000000,10000,7,2.35
343,156,0,738,891,105219735,Action|Adventure|Drama|History,3244,0,English,USA,PG-13,200000000,882,6.7,2.35
509,186,0,773,5000,258355354,Adventure|Fantasy,9152,6,English,USA,PG-13,225000000,972,7.9,2.35
251,113,129,1000,16000,70083519,Adventure|Family|Fantasy,24106,2,English,USA,PG-13,180000000,6000,6.1,2.35
446,201,0,84,6000,218051260,Action|Adventure|Drama|Romance,7123,0,English,New Zealand,PG-13,207000000,919,7.2,2.35
315,194,0,794,29000,658672302,Drama|Romance,45223,0,English,USA,PG-13,200000000,14000,7.7,2.35
516,147,94,11000,21000,407197282,Action|Adventure|Sci-Fi,64798,0,English,USA,PG-13,250000000,19000,8.2,2.35
377,131,532,627,14000,65173160,Action|Adventure|Sci-Fi|Thriller,26679,0,English,USA,PG-13,209000000,10000,5.9,2.35
644,124,365,1000,3000,652177271,Action|Adventure|Sci-Fi|Thriller,8458,0,English,USA,PG-13,150000000,2000,7,2
750,143,0,393,883,304360277,Action|Adventure|Thriller,2039,0,English,UK,PG-13,200000000,563,7.8,2.35
300,135,0,4000,24000,373377893,Action|Adventure|Fantasy|Romance,43388,1,English,USA,PG-13,200000000,11000,7.3,2.35
608,195,1000,3000,21000,408992272,Action|Adventure|Sci-Fi,30426,3,English,USA,PG-13,200000000,4000,7.2,2.35
451,108,13000,11000,40000,334185206,Adventure|Family|Fantasy,79957,0,English,USA,PG,200000000,25000,6.5,1.85
334,104,420,560,20000,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,21714,0,English,Canada,PG-13,210000000,808,6.8,2.35
376,104,37,760,12000,268488329,Adventure|Animation|Comedy|Family|Fantasy,14863,0,English,USA,G,200000000,779,7.3,1.85
366,150,0,464,894,402076689,Action|Adventure|Sci-Fi,3218,0,English,USA,PG-13,200000000,581,6,2.35
378,165,0,808,974,245428137,Action|Adventure|Sci-Fi,3988,2,English,USA,PG-13,210000000,956,5.7,2.35
525,130,0,11000,44000,234903076,Adventure|Family|Fantasy,73441,4,English,USA,PG,215000000,15000,6.4,2.35
495,142,464,825,15000,202853933,Action|Adventure|Fantasy|Sci-Fi,28631,0,English,USA,PG-13,200000000,10000,6.7,2.35
469,125,364,1000,12000,172051787,Action|Adventure|Sci-Fi,25550,0,English,USA,PG,170000000,10000,6.8,2.35
304,106,487,776,1000,191450875,Adventure|Animation|Comedy|Family|Sport,4482,0,English,USA,G,200000000,919,6.3,2.35
436,123,258,326,16000,116593191,Action|Adventure|Sci-Fi,17657,2,English,USA,PG-13,200000000,368,5.6,2.35
453,103,125,721,15000,414984497,Adventure|Animation|Comedy|Family|Fantasy,19085,3,English,USA,G,200000000,1000,8.3,1.85
422,118,368,988,23000,125320003,Action|Adventure|Sci-Fi,27468,0,English,USA,PG-13,200000000,3000,6.6,2.35
424,140,0,14000,26000,350034110,Action|Crime|Thriller,79150,0,English,USA,PG-13,190000000,23000,7.2,2.35
654,123,395,1000,17000,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,32392,0,English,USA,PG-13,190000000,11000,7,2.35
539,149,0,20000,34000,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,91434,7,English,USA,PG-13,200000000,22000,8,2.35
590,132,14000,928,19000,228756232,Action|Adventure|Sci-Fi,21411,0,English,USA,PG-13,190000000,981,7.8,2.35
338,114,0,140,979,65171860,Adventure|Fantasy,1766,1,English,USA,PG-13,195000000,557,6.3,2.35
490,143,1000,77,29000,144812796,Drama|Romance,29770,4,English,Australia,PG-13,105000000,509,7.3,2.35
306,116,179,236,15000,90755643,Action|Adventure|Fantasy|Romance,16149,2,English,USA,PG-13,200000000,567,6.6,2.35
575,131,0,919,16000,101785482,Action|Adventure|Sci-Fi,19166,0,English,USA,PG-13,190000000,968,7,1.85
428,154,0,581,894,352358779,Action|Adventure|Sci-Fi,2593,2,English,USA,PG-13,195000000,829,6.3,2.35
470,122,14000,1000,11000,317011114,Action|Adventure|Fantasy,14959,2,English,USA,PG-13,185000000,1000,6.2,2.35
298,93,113,113,275,123070338,Adventure|Animation|Comedy|Family|Fantasy,696,0,English,USA,PG,,150,6.8,2.35
488,93,56,838,2000,237282182,Adventure|Animation|Comedy|Family|Fantasy,5005,0,English,USA,PG,185000000,1000,7.2,2.35
322,122,681,105,998,130468626,Action|Adventure|Sci-Fi|Thriller,1327,4,English,USA,PG-13,185000000,119,7.5,2.35
421,98,475,522,1000,223806889,Adventure|Animation|Family|Sci-Fi,2975,0,English,USA,G,180000000,729,8.4,2.35
162,91,420,173,268,140080850,Action|Comedy|Crime|Thriller,1125,2,English,USA,PG-13,140000000,268,6.2,2.35
367,158,776,310,1000,166112167,Action|Adventure|Sci-Fi,2144,0,English,USA,PG-13,200000000,468,5.8,2.35
240,96,0,10000,18000,137850096,Animation|Drama|Family|Fantasy,48878,0,English,USA,PG,200000000,14000,6.8,2.35
384,127,0,13000,17000,47375327,Action|Adventure|Sci-Fi,47334,1,English,USA,PG-13,176000000,15000,5.4,2.35
248,110,282,103,11000,124051759,Action|Adventure|Drama|Romance,21175,2,English,USA,PG-13,180000000,10000,6.6,2.35
284,150,80,82,1000,291709845,Adventure|Family|Fantasy,1317,5,English,USA,PG,180000000,190,6.9,2.35
396,144,0,1000,34000,154985087,Action|Adventure|Sci-Fi,49684,6,English,USA,PG-13,178000000,13000,7.3,2.35
645,152,22000,11000,23000,533316061,Action|Crime|Drama|Thriller,57802,0,English,USA,PG-13,185000000,13000,9,2.35
408,96,0,262,1000,292979556,Adventure|Animation|Comedy|Family,2635,1,English,USA,PG,175000000,848,8.3,1.85
219,94,11,459,1000,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2579,2,English,USA,PG,175000000,973,6.5,2.35
486,126,4000,4000,21000,318298180,Action|Adventure|Sci-Fi,39252,3,English,USA,PG-13,140000000,12000,7.9,2.35
682,126,17000,1000,17000,73820094,Adventure|Drama|Family|Mystery,36017,0,English,USA,PG,170000000,16000,7.5,1.85
85,106,188,582,10000,113745408,Action|Comedy|Sci-Fi|Western,15870,2,English,USA,PG-13,170000000,4000,4.8,1.85
264,112,357,595,5000,102176165,Action|Adventure|Fantasy|Horror|Thriller,9131,2,English,USA,PG-13,145000000,3000,5.2,2.35
418,123,452,329,10000,161087183,Action|Adventure|Comedy|Sci-Fi,11287,8,English,USA,PG-13,175000000,336,6.9,2.35
186,96,293,7000,87000,100289690,Comedy|Family|Fantasy,108016,0,English,USA,PG,175000000,11000,5.4,2.35
585,113,218,509,10000,100189501,Action|Adventure|Sci-Fi,12652,1,English,USA,PG-13,178000000,854,7.9,2.35
91,176,58,60,711,88246220,Action|Adventure|Sci-Fi|Thriller,1004,0,English,USA,PG-13,175000000,60,6.1,1.85
250,118,208,570,23000,150167630,Action|Adventure|Sci-Fi|Thriller,26683,4,English,USA,PG-13,175000000,2000,5.8,2.35
536,95,0,384,1000,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,2944,1,English,USA,PG,175000000,767,8.3,1.85
370,106,4000,591,19000,362645141,Adventure|Drama|Family|Fantasy,32921,0,English,UK,PG,175000000,13000,7.8,1.85
453,124,4000,4000,21000,312057433,Action|Adventure|Sci-Fi,48638,4,English,USA,PG-13,200000000,19000,7,2.35
416,132,274,11000,26000,155111815,Action|Adventure|Drama|Fantasy,72881,0,English,USA,PG-13,170000000,17000,6.1,2.35
401,97,171,846,11000,241407328,Action|Adventure|Family|Fantasy|Romance,15516,2,English,USA,PG,180000000,2000,7,2.35
521,130,198,884,10000,208543795,Action|Adventure|Drama|Sci-Fi,14363,0,English,USA,PG-13,170000000,2000,7.6,1.85
10,109,596,283,622,,Action|Adventure|Romance|Sci-Fi,1982,3,English,Belgium,R,,525,4.5,
218,128,47,982,18000,38297305,Action|Adventure|Drama|Fantasy,20965,2,English,USA,PG-13,175000000,1000,6.3,2.35
576,136,94,2000,19000,259746958,Action|Adventure|Sci-Fi,36188,1,English,USA,PG-13,170000000,11000,7.8,2.35
226,93,31,213,4000,238371987,Adventure|Animation|Comedy|Family|Fantasy,4628,2,English,USA,PG,165000000,225,6.4,2.35
443,130,663,604,2000,93417865,Action|Adventure|Family|Mystery|Sci-Fi,5046,2,English,USA,PG,190000000,638,6.5,2.2
384,102,38,562,756,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2963,0,English,USA,PG,165000000,719,7.9,2.39
377,101,66,833,975,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,4451,1,English,USA,PG,165000000,931,7.8,2.35
188,100,0,267,15000,665426,Adventure|Animation|Family|Fantasy,16264,0,English,USA,G,165000000,726,6.6,2.35
286,120,776,535,890,102315545,Action|Adventure|Sci-Fi,3233,0,English,USA,PG-13,165000000,812,5.5,2.35
288,98,255,759,18000,217387997,Adventure|Animation|Family|Fantasy,20453,0,English,USA,PG,165000000,953,8.2,2.35
280,109,84,191,648,150350192,Action|Sci-Fi,1769,0,English,USA,R,200000000,284,6.4,2.35
653,121,571,3000,14000,333130696,Action|Adventure|Sci-Fi,32438,3,English,USA,PG-13,170000000,14000,8.1,2.35
712,169,22000,6000,11000,187991439,Adventure|Drama|Sci-Fi,31488,1,English,USA,PG-13,165000000,11000,8.6,2.35
642,148,22000,23000,29000,292568851,Action|Adventure|Sci-Fi|Thriller,81115,0,English,USA,PG-13,160000000,27000,8.8,2.35
1,120,28,12,544,,Action|Adventure|Drama|Horror|Sci-Fi,699,0,Japanese,Japan,,,106,8.2,2.35
645,182,0,773,5000,303001229,Adventure|Fantasy,9152,,English,USA,PG-13,180000000,972,7.9,2.35
187,106,357,4000,23000,144512310,Action|Crime|Thriller,45327,2,English,USA,PG-13,38000000,14000,6.7,2.35
362,166,21000,919,11000,127490802,Drama|Fantasy|Romance,13333,2,English,USA,PG-13,150000000,1000,7.8,2.35
500,132,905,1000,34000,146405371,Action|Adventure|Sci-Fi,50983,3,English,USA,PG-13,160000000,13000,7.8,2.35
389,137,508,14000,34000,281666058,Adventure|Sci-Fi,81385,1,English,USA,PG-13,160000000,22000,6.6,2.35
235,109,226,370,12000,63143812,Action|Adventure|Family|Fantasy,13388,0,English,USA,PG,150000000,418,6.1,2.35
231,98,249,702,87000,60655503,Action|Adventure|Drama|Thriller,92456,0,English,USA,PG-13,160000000,2000,5.6,2.35
218,113,33,11000,40000,76846624,Adventure|Family|Fantasy,80806,1,English,USA,PG,170000000,25000,6.4,1.85
227,93,50,692,3000,320706665,Adventure|Animation|Comedy|Family|Fantasy,4705,2,English,USA,PG,160000000,795,6.1,1.85
275,123,0,648,3000,46978995,Action|Adventure|Fantasy,5505,0,English,USA,PG-13,160000000,716,7.3,2.35
474,126,230,2000,24000,89732035,Action|Adventure|Sci-Fi,38873,2,English,USA,PG-13,155000000,10000,6.6,2.35
228,113,150,59,531,104383624,Adventure|Family|Fantasy,764,4,English,USA,PG,155000000,82,6.3,1.78
191,184,0,691,3000,198539855,Action|Drama|History|Romance|War,5401,0,English,USA,PG-13,140000000,961,6.1,2.35
396,144,0,581,662,318759914,Action|Adventure|Sci-Fi,2333,0,English,USA,PG-13,150000000,599,7.1,2.35
248,206,0,591,12000,34293771,Action|Adventure|Biography|Drama|History|Romance|War,24598,3,English,Germany,R,155000000,11000,5.5,2.35
329,138,282,687,21000,292000866,Adventure|Family|Fantasy|Mystery,33433,3,English,UK,PG-13,150000000,11000,7.5,2.35
295,157,179,10000,21000,289994397,Adventure|Family|Fantasy|Mystery,53413,1,English,UK,PG-13,150000000,11000,7.6,2.35
318,102,532,979,10000,227946274,Action|Drama,21584,0,English,USA,PG-13,150000000,9000,6.4,2.35
323,104,508,558,10000,256386216,Drama|Horror|Sci-Fi,13076,0,English,USA,PG-13,150000000,1000,7.2,2.35
276,115,13000,588,40000,206456431,Adventure|Comedy|Family|Fantasy,57844,3,English,USA,PG,150000000,16000,6.7,1.85
318,111,663,954,1000,206435493,Animation|Comedy|Family|Fantasy,4764,0,English,USA,G,150000000,1000,8,2.35
478,128,22000,11000,23000,205343774,Action|Adventure,59558,0,English,USA,PG-13,150000000,14000,8.3,2.35
167,89,35,436,1000,179982968,Action|Adventure|Animation|Comedy|Family,3285,0,English,USA,PG,150000000,851,6.7,1.85
185,105,189,1000,49000,177243721,Adventure|Comedy|Family|Fantasy,54039,2,English,USA,PG,150000000,3000,5.9,2.35
350,119,151,2000,20000,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,40054,0,English,USA,PG-13,150000000,16000,6.7,2.35
245,129,0,233,309,139259759,Action|Sci-Fi,1062,0,English,Australia,R,150000000,269,6.7,2.35
406,102,69,490,1000,400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,2582,0,English,USA,PG,150000000,523,7.6,2.24
275,138,0,30,234,281492479,Action|Sci-Fi,534,0,English,USA,R,150000000,198,7.2,2.35
486,112,230,12000,26000,206360018,Action|Adventure|Fantasy,59803,3,English,USA,PG-13,170000000,20000,7.1,2.35
739,120,750,943,27000,153629485,Action|Adventure|Sci-Fi|Thriller,40025,0,English,Australia,R,150000000,9000,8.1,2.35
298,146,2000,294,15000,133375846,Mystery|Thriller,16948,2,English,USA,PG-13,150000000,745,6.7,2.35
516,115,0,12000,26000,181015141,Action|Adventure|Fantasy,60059,1,English,USA,PG-13,150000000,20000,7,2.35
225,96,59,699,17000,114053579,Adventure|Animation|Comedy|Drama|Family,20007,0,English,USA,PG,150000000,759,6.9,1.85
145,88,12,182,730,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2217,0,English,USA,PG,150000000,607,5.1,2.35
310,99,473,502,14000,83640426,Action|Adventure|Fantasy,16184,0,English,USA,PG-13,150000000,897,5.8,1.85
526,113,13000,16000,40000,79711678,Comedy|Fantasy|Horror,80849,7,English,USA,PG-13,100000000,17000,6.2,1.85
465,131,188,641,10000,195000874,Action|Adventure|Thriller,21840,0,English,China,PG-13,150000000,10000,7.4,2.35
357,119,394,162,12000,61937495,Drama|Fantasy|Horror|Thriller,13071,0,English,USA,R,150000000,490,5.8,1.85
248,110,282,103,11000,124051759,Action|Adventure|Drama|Romance,21175,2,English,USA,PG-13,180000000,10000,6.6,2.35
194,91,58,826,2000,126597121,Adventure|Animation|Comedy|Family,6576,0,English,USA,PG,150000000,852,6.2,1.85
284,90,90,15,11000,165230261,Action|Adventure|Animation|Comedy|Family,21015,0,English,USA,PG,150000000,10000,7.3,2.35
280,103,0,346,1000,131564731,Action|Adventure|Family|Fantasy,2857,0,English,USA,PG,150000000,756,4.2,2.35
310,124,14000,979,22000,133382309,Action|Adventure|Thriller,34817,0,English,USA,PG-13,150000000,10000,6.9,2.35
339,131,776,256,17000,73103784,Action|Drama|Thriller,18204,2,English,USA,PG-13,150000000,551,6.4,2.35
132,88,25,433,921,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2652,0,English,USA,PG,150000000,562,5.4,2.35
135,85,42,586,20000,64459316,Adventure|Animation|Comedy|Family,35161,0,English,UK,PG,149000000,14000,6.7,1.85
256,111,456,394,20000,34964818,Adventure|Family|Fantasy,21393,4,English,USA,PG,150000000,548,5.8,2.35
196,92,50,517,3000,111505642,Adventure|Animation|Comedy|Family|Sci-Fi,5810,2,English,USA,PG,145000000,1000,6.9,1.85
220,196,249,844,11000,133228348,Adventure,17944,2,English,USA,R,175000000,5000,7.2,2.35
211,93,35,436,851,216366733,Adventure|Animation|Comedy|Family,2444,0,English,USA,PG,145000000,770,6.9,1.85
264,133,93,746,769,160201106,Action|Adventure|Thriller,2538,0,English,UK,PG-13,142000000,766,6.1,2.35
464,116,176,322,783,118099659,Action|Comedy|Fantasy|Sci-Fi,2097,4,English,USA,PG-13,144000000,370,5.5,2.35
167,153,0,537,13000,201573391,Action|Adventure|Sci-Fi|Thriller,26029,0,English,USA,PG-13,140000000,12000,6.6,2.35
208,88,188,826,10000,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,14823,2,English,USA,PG-13,140000000,3000,6.1,1.85
287,115,0,964,18000,82161969,Action|Adventure|Animation|Fantasy,31523,1,English,USA,PG-13,150000000,12000,6.3,2.35
210,95,5,967,24000,143523463,Action|Adventure|Animation|Comedy|Family,36095,0,English,USA,PG,145000000,11000,7.2,2.35
432,133,663,690,10000,209364921,Action|Adventure|Thriller,21768,3,English,USA,PG-13,145000000,10000,7.4,2.35
256,97,52,161,20000,103400692,Adventure|Animation|Family|Fantasy,20645,0,English,USA,PG,145000000,315,7.3,1.85
135,90,23,233,957,110332737,Comedy|Crime,1997,1,English,USA,PG-13,100000000,550,6.1,2.35
190,154,380,445,10000,111110575,Action|Drama|History|War,11945,1,English,USA,R,140000000,956,7.7,2.35
314,150,0,748,23000,65007045,Action|Adventure|Drama,26490,0,English,UK,PG-13,140000000,893,6.1,2.35
518,127,14000,981,26000,257704099,Action|Adventure|Sci-Fi,39284,0,English,USA,PG-13,150000000,12000,8,2.35
291,121,0,4000,24000,403706375,Action|Adventure|Fantasy|Romance,40484,0,English,USA,PG-13,139000000,11000,7.3,1.85
292,102,255,953,18000,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,23378,5,English,USA,PG,145000000,3000,7.9,2.35
184,126,295,284,18000,31141074,Action|Adventure|Fantasy,19769,4,English,USA,PG-13,140000000,934,5.5,2.35
145,121,357,653,820,31704416,Action|Adventure|Sci-Fi|Thriller,2705,0,English,USA,PG-13,135000000,780,5,2.35
451,215,0,413,986,107503316,Action|Drama|Mystery|Sci-Fi,2530,1,English,USA,R,130000000,745,7.7,2.35
141,127,503,91,5000,129734803,Action|Crime|Thriller,6171,2,English,USA,R,140000000,808,6.6,2.35
267,138,0,258,820,132122995,Action|Sci-Fi,1814,0,English,USA,PG-13,137000000,300,5.7,1.85
351,122,209,934,17000,122512052,Action|Adventure|Sci-Fi|Thriller,31958,6,English,USA,PG-13,130000000,12000,5.8,2.35
163,124,42,848,11000,68642452,Action|Adventure|Comedy|Thriller,13073,3,English,UK,PG-13,130000000,973,6,2.35
166,106,6,422,12000,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,15015,1,English,USA,PG-13,137000000,2000,6.4,1.85
510,124,394,2000,11000,176636816,Action|Adventure|Sci-Fi,19761,0,English,USA,PG-13,140000000,3000,6.9,2.35
197,128,150,244,766,126930660,Action|Adventure|Thriller,2037,2,English,UK,PG-13,135000000,536,6.4,2.35
244,138,608,168,613,93926386,Action|Adventure|Drama|History|War,1205,1,English,USA,PG-13,150000000,172,7.4,2.35
322,115,386,12000,21000,292298923,Adventure|Drama|Fantasy|Romance,59177,3,English,USA,PG-13,120000000,17000,5.5,2.35
156,100,750,988,49000,63992328,Animation|Comedy|Family|Musical,62644,0,English,Australia,PG,135000000,11000,5.9,2.35
354,135,255,882,3000,134518390,Action|Adventure|Sci-Fi,5811,0,English,USA,PG-13,150000000,1000,6.8,2.35
21,60,,184,982,,Action|Crime|Drama|Mystery|Thriller,1687,2,English,USA,TV-14,1500000,321,7.5,1.33
252,117,14000,358,535,52792307,Adventure|Family|Fantasy,1950,0,English,UK,PG,140000000,400,6.8,2.35
556,156,0,733,29000,183635922,Adventure|Drama|Thriller|Western,57108,0,English,USA,R,135000000,27000,8.1,2.35
166,96,13,463,16000,83024900,Adventure|Animation|Comedy|Family|Sport,17416,0,English,USA,PG,135000000,881,6.5,2.35
362,107,563,939,40000,123207194,Adventure|Animation|Comedy|Family|Western,43291,0,English,USA,PG,135000000,1000,7.2,2.35
153,92,35,179,19000,83348920,Adventure|Animation|Comedy|Family,19963,0,English,USA,PG,132000000,411,6.7,1.85
329,115,521,883,13000,227137090,Action|Mystery|Thriller,17369,0,English,USA,PG-13,110000000,897,8.1,2.35
266,92,54,562,11000,215395021,Action|Adventure|Animation|Comedy|Family,12754,0,English,USA,PG,130000000,967,7.6,2.35
517,117,235,680,2000,180191634,Action|Adventure|Comedy|Sci-Fi,5730,6,English,USA,PG-13,130000000,2000,7.4,1.85
502,146,508,523,34000,424645577,Adventure|Sci-Fi|Thriller,49355,1,English,USA,PG-13,130000000,14000,7.6,2.35
322,115,386,12000,21000,292298923,Adventure|Drama|Fantasy|Romance,59177,3,English,USA,PG-13,120000000,17000,5.5,2.35
165,94,12,183,17000,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,17883,0,English,USA,PG,135000000,523,6.7,1.85
401,116,14000,807,10000,234277056,Adventure|Sci-Fi|Thriller,12758,0,English,USA,PG-13,132000000,1000,6.5,1.85
94,147,0,877,10000,138396624,Action|Comedy|Crime|Thriller,12954,1,English,USA,R,130000000,898,6.6,2.35
246,90,50,397,4000,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,5046,0,English,USA,PG,130000000,442,6.7,2.35
330,101,176,282,11000,118311368,Action|Crime|Mystery|Thriller,12406,1,English,USA,PG-13,110000000,702,6.4,2.35
434,138,0,8000,12000,101160529,Action|Adventure|Drama,32355,2,English,USA,PG-13,125000000,9000,5.8,1.85
440,107,14000,845,2000,77564037,Action|Adventure|Family|Mystery,4631,1,English,USA,PG,135000000,871,7.4,2.35
274,142,0,10000,11000,249358727,Adventure|Family|Fantasy|Mystery,33284,3,English,UK,PG,130000000,10000,7.8,2.35
245,165,1000,165,309,49551662,Adventure|Drama|Romance|War,921,0,English,Australia,PG-13,130000000,284,6.6,2.35
349,100,0,894,10000,60522097,Action|Adventure|Sci-Fi,14168,0,English,USA,PG-13,130000000,943,4.9,2.35
145,82,0,388,1000,137748063,Adventure|Animation|Family|Thriller,2945,1,English,USA,PG,127500000,558,6.5,1.85
1,,0,159,10000,,Action|Fantasy,11036,1,English,UK,,,570,7.5,
154,98,189,1000,49000,113733726,Adventure|Comedy|Family|Fantasy,53587,7,English,USA,PG,127000000,3000,6.2,1.85
233,95,96,8000,24000,148337537,Action|Animation|Comedy|Family|Sci-Fi,46120,3,English,USA,PG,130000000,11000,7.3,2.35
258,159,0,645,11000,317557891,Adventure|Family|Fantasy,13191,4,English,UK,PG,125000000,687,7.5,2.35
208,96,124,1000,16000,33592415,Action|Comedy|Fantasy,31549,2,English,USA,PG-13,130000000,12000,5.6,2.35
1,120,28,12,544,,Action|Adventure|Drama|Horror|Sci-Fi,699,0,Japanese,Japan,,,106,8.2,2.35
271,143,563,1000,40000,305388685,Action|Adventure|Fantasy,48184,3,English,USA,PG-13,140000000,5000,8.1,2.35
4,,0,1000,10000,,Fantasy,14719,1,English,UK,,,2000,6.4,
403,123,508,14000,34000,337103873,Adventure|Sci-Fi|Thriller,81385,1,English,USA,PG-13,125000000,22000,6.7,2.35
294,174,2000,362,15000,217536138,Mystery|Thriller,16008,2,English,USA,PG-13,125000000,574,6.6,2.35
159,101,107,56,688,131536019,Adventure|Animation|Comedy|Family|Musical,1031,0,English,USA,G,103000000,237,6.4,2.35
289,134,0,346,20000,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,20952,4,English,Canada,PG-13,110000000,505,7.5,2.35
342,132,681,12000,23000,209805005,Action|Crime|Thriller,55345,3,English,USA,PG-13,125000000,14000,7.3,2.35
382,129,0,154,21000,186830669,Action|Adventure|Crime|Mystery|Thriller,22403,2,English,USA,PG-13,125000000,979,7.5,2.35
344,106,255,850,14000,163192114,Action|Adventure|Fantasy,18003,0,English,USA,PG-13,125000000,1000,5.8,2.35
196,113,719,217,605,119412921,Action|Sci-Fi,1441,0,English,USA,R,65000000,308,7.5,1.85
85,102,323,241,845,32694788,Action|Adventure|History,1815,1,English,USA,R,85000000,372,6.6,2.35
436,135,209,602,10000,113165635,Action|Adventure|Thriller,12175,0,English,USA,PG-13,125000000,826,6.7,2.35
183,125,541,409,920,107285004,Action,2699,3,English,USA,PG-13,125000000,890,3.7,1.85
175,110,2000,636,1000,260031035,Comedy|Family|Fantasy,4146,0,English,USA,PG,123000000,722,6,1.85
239,124,776,812,15000,186739919,Action|Adventure|Sci-Fi|Thriller,20553,0,English,USA,PG-13,125000000,2000,6.4,2.35
237,123,610,653,10000,215397307,Action|Adventure|Thriller,11930,0,English,USA,PG-13,125000000,794,6.1,2.35
231,130,249,461,784,182618434,Action|Adventure|Drama|Thriller,2684,0,English,USA,PG-13,140000000,638,6.4,2.35
262,92,167,702,11000,131920333,Action|Adventure|Sci-Fi|Thriller,15302,3,English,USA,PG,130000000,2000,5.6,2.35
552,127,0,341,774,124976634,Adventure|Drama|Fantasy,2121,0,English,USA,PG,120000000,358,8,1.85
276,123,160,402,12000,115802596,Action|Fantasy|Thriller,14017,1,English,USA,PG-13,110000000,701,5.2,2.35
267,123,521,265,13000,108521835,Action|Thriller,13752,0,English,UK,PG-13,120000000,365,7.1,2.35
102,107,368,1000,2000,100685880,Action|Adventure|Comedy|Crime,4046,0,English,USA,PG-13,120000000,1000,4.8,2.35
